"album","Index","artist","Index","genre","type"
"Soulful Southern Roots Music",524,"18 South",2,"Rock","Load"
"The Blue Danube",588,"A Fielder Boston Pops",3,"Classic","Vinyl"
"Rumour Has It - Single",484,"ADELE",4,"Rock","Load"
"Gold",226,"Aerosmith",5,"Rock","Load"
"Gold_ Aerosmith",227,"Aerosmith",5,"Rock","Load"
"My Aerosmith Compilation",395,"Aerosmith",5,"Rock","Load"
"Get a Grip",220,"Aerosmith",5,"Rock","Load"
"Alabama Greatest Hits",32,"Alabama",6,"Country","Vinyl"
"Prelude",439,"Alex Hargreaves",7,"Jazz","Load"
"Alexander",33,"Alexander",8,"Rock","Load"
"The Blue Danube Waltz",589,"Alfred Hause",9,"Classic","Load"
"Alice Cooper's Greatest Hits",34,"Alice Cooper",10,"Rock","Load"
"A Hundred Miles or More - A Collection",23,"Alison Krauss",11,"Country","Load"
"New Favorite",400,"Alison Krauss & Union Station",12,"Country","Load"
"I Need a Dollar (How to Make It In America) - EP",269,"Aloe Blacc",13,"Pop","Load"
"In Tennessee",280,"Alvin Lee",14,"Rock","Load"
"Keep on Rockin'",311,"Alvin Lee & Ten Years Later",15,"Rock","Load"
"Rocket Fuel",475,"Alvin Lee & Ten Years Later",15,"Rock","Vinyl"
"Still On the Road To Freedom",536,"Alvin Lee & Ten Years Later",15,"Rock","Load"
"Live at Rockpalast (Remastered)",332,"Alvin Lee & Ten Years Later",15,"Rock","Load"
"In Flight",277,"Alvin Lee & Ten Years Later",15,"Rock","Load"
"Live In Vienna",341,"Alvin Lee & Ten Years Later",15,"Rock","Load"
"On The Road To Freedom Alvin Lee & Mylon LeFevre",418,"Alvin Lee & Ten Years Later",15,"Rock","Vinyl"
"America_ The Complete Greatest Hits",42,"America",16,"Rock","Load"
"The Warner Bros. Years 1971-1977",674,"America",16,"Rock","Load"
"Strauss Waltzes",537,"Andre Kostelanetz and his orchestra",17,"Classic","Load"
"Infernal Violins",286,"Angele Dubeau & La Pieta",18,"Classic","Load"
"Antonio Vivaldi",50,"Antonio Vivaldi",19,"Classic","Load"
"The Suburbs",651,"Arcade Fire",20,"Pop","Load"
"Greatest Hits (1980-1994)",235,"Aretha Franklin",21,"Soul","CD"
"Running Down The Road",486,"Arlo Guthrie",22,"Folk","Vinyl"
"Alice's Restaurant",35,"Arlo Guthrie",22,"Folk","Vinyl"
"Serenata",495,"Armik",23,"Pop","Load"
"The Very Best of Asleep At the Wheel (Re-Recorded Versions)",659,"Asleep At the Wheel",24,"Tex Mex","Load"
"Asleep At the Wheel (Live)",53,"Asleep At the Wheel",24,"Tex Mex","Load"
"Infiltration",287,"Assassin",25,"Pop","Load"
"Person to Person (Live)",429,"Average White Band",26,"Rock","Load"
"The Definitive Collection",605,"Bachman-Turner Overdrive",27,"Rock","Load"
"Not Fragile",411,"Bachman-Turner Overdrive",27,"Rock","Vinyl"
"In Concert - Merchants of Cool",276,"Bad Company",28,"Rock","Load"
"No Matter What You Are (Re-Recorded Version)",407,"Badfinger",29,"Rock","Load"
"Eve Of Destruction",191,"Barry McGuire",30,"Folk","CD"
"The Roller - Single",644,"Beady Eye",31,"Pop","Load"
"Main Course",364,"Bee Gees",32,"Rock","Vinyl"
"Mr. Natural",393,"Bee Gees",32,"Rock","Vinyl"
"Best Of The BeeGees",76,"Bee Gees",32,"Folk","Vinyl"
"Number Ones",412,"Bee Gees",32,"Rock","Load"
"Rock 'N' Roll Is Free - Single",472,"Ben Harper",33,"Rock","Load"
"Janis Joplin's Greatest Hits [10 Tracks]",292,"Big Brother & the Holding Company_Janis Joplin",34,"Rock","CD"
"Fire It Up",205,"Bill Perry",36,"Rock","Load"
"Best Of Billy Holliday",71,"Billy Holliday",38,"Jazz","Vinyl"
"52nd Street",18,"Billy Joel",39,"Rock","Vinyl"
"Red Hot",454,"Billy Lee Riley",40,"Rocka Billy","Load"
"No Sweat",408,"Blood Sweat & Tears",41,"Rock","Vinyl"
"Blood Sweat & Tears 3",93,"Blood Sweat & Tears",41,"Rock","Vinyl"
"New Blood",399,"Blood Sweat & Tears",41,"Rock","Vinyl"
"Hooked On a Feeling - Single",263,"Blue Swede",42,"Rock","Load"
"Rhino Hi-Five_ Blues Image - EP",464,"Blues Image",43,"Rock","Load"
"Tempest",559,"Bob Dylan",44,"Rock","CD"
"Modern Times",383,"Bob Dylan",44,"Rock","Load"
"Time Out Of Mind",684,"Bob Dylan",44,"Rock","CD"
"Masked And Anonymous",372,"Bob Dylan",44,"Rock","CD"
"Time They Are A-Changin",686,"Bob Dylan",44,"Rock","Vinyl"
"World Gone Wrong",743,"Bob Dylan",44,"Rock","CD"
"Love And Theft",356,"Bob Dylan",44,"Rock","Load"
"Slow Train Coming [Remastered]",513,"Bob Dylan",44,"Rock","CD"
"Bob Dylan",97,"Bob Dylan",44,"Rock","Vinyl"
"Modern Folk and Blues Wednesday",382,"Bob Forrest",45,"Folk","Load"
"Legend (Remastered)",321,"Bob Marley",46,"Regae","Load"
"Bob Seger Greatest Hits",98,"Bob Seger",47,"Rock","CD"
"Mack the Knife",362,"Bobby Darin",48,"Rock","CD"
"Rock Masters_ Bobby Rydell",474,"Bobby Rydell",49,"Rock","Load"
"Slippery When Wet",512,"Bon Jovi",50,"Rock","Load"
"The Best of Booker T & The MGs",569,"Booker T. & The MG's",51,"Rock","Load"
"Just a Friend [feat. Biz Markie Matt Berninger and Sharon Jones] - Single",307,"Booker T. Jones",52,"Rock","Load"
"Boston_ Greatest Hits",102,"Boston",53,"Rock","Load"
"The Definitive Collection of Boxcar Willie (Live)",606,"Boxcar Willie",54,"Classic","Load"
"Boz Scaggs Cuts",103,"Boz Scaggs",55,"Rock","Vinyl"
"Bozz Scaggs Hits",104,"Boz Scaggs",55,"Rock","Vinyl"
"Renaissance",459,"Branford Marsalis",56,"Jazz","Load"
"Romances For Saxophone",478,"Branford Marsalis",56,"Jazz","Vinyl"
"Creation",149,"Branford Marsalis",56,"Jazz","Load"
"The Brecker Brothers",595,"Brecker Bothers",57,"Jazz","Vinyl"
"Dont Stop The Music",166,"Brecker Bothers",57,"Jazz","Vinyl"
"Brecker Bothers",106,"Brecker Bothers",57,"Jazz","Vinyl"
"The Brecker Bothers",592,"Brecker Bothers",57,"Jazz","Vinyl"
"The Brecker Bros",593,"Brecker Bothers",57,"Jazz","Vinyl"
"The Brecker Bros_",594,"Brecker Bothers",57,"Jazz","Vinyl"
"The Brecker Bros",593,"Brecker Bothers Band",58,"Jazz","Vinyl"
"Back To Back",58,"Brecker Bothers Band",58,"Jazz","Vinyl"
"The Brecker Brothers",595,"Brecker Brothers",59,"Jazz","Vinyl"
"Dont Stop The Music",166,"Brecker Brothers",59,"Jazz","Vinyl"
"Back To Back",58,"Brecker Brothers",59,"Jazz","Vinyl"
"Dont Stop The Music",166,"Brecker Brothers Band",60,"Jazz","Vinyl"
"The Brecker Brothers",595,"Brecker Brothers Band",60,"Jazz","Vinyl"
"Brecker Bothers",106,"Brecker Brothers Band",60,"Jazz","Vinyl"
"The Brecker Bros_",594,"Brecker Brothers Band",60,"Jazz","Vinyl"
"The Definitive Collection",605,"Brenda Lee",61,"Country","CD"
"One Toke Over the Line",423,"Brewer & Shipley",62,"Rock","Load"
"Born To Run",100,"Bruce Springsteen",63,"Rock","Vinyl"
"Working On A Dream",741,"Bruce Springsteen",63,"Rock","CD"
"Nebraska",398,"Bruce Springsteen",63,"Rock","CD"
"Born In The USA",99,"Bruce Springsteen",63,"Rock","Vinyl"
"Jumping On the West Coast",306,"Buddy Tate",64,"Jazz","Load"
"Retrospective_ The Best of Buffalo Springfield",463,"Buffalo Springfield",65,"Rock","CD"
"Rock 'N' Roll Legend_ Carl Perkins",473,"Carl Perkins",66,"Rocka Billy","Load"
"Tapestry",557,"Carole King",67,"Rock","CD"
"Nightrider",405,"Charlie Daniels Band",68,"Country","Vinyl"
"Charlie Daniels Band A Decade Of Hits",121,"Charlie Daniels Band",68,"Country","Load"
"Charlie Daniels Band A Decade Of Hits",121,"Charlie Daniels Band",68,"Country","Vinyl"
"Best of Charlie Rich",73,"Charlie Rich",69,"Country","Vinyl"
"Every Time You Touch Me",192,"Charlie Rich",69,"Country","Vinyl"
"In Color [Bonus Tracks]",275,"Cheap Trick",70,"Rock","CD"
"Reminiscing",458,"Chet Atkins and Hank Snow",71,"Country","Vinyl"
"Chicago",122,"Chicago",72,"Rock","Vinyl"
"Chicago Transit Authority (Remastered)",123,"Chicago",72,"Rock","Load"
"Expressions",196,"Chick Corea",73,"Rock","CD"
"The Best of Chuck Berry",571,"Chuck Berry",74,"Rock","Vinyl"
"Every Waking Moment",193,"Citizen Cope",75,"Rock","CD"
"Fragile Bird - Single",215,"City and Colour",76,"Pop","Load"
"Black Jack",87,"Clarence Gatermouth Brown",77,"Country","Vinyl"
"Clarence Gatermouth Brown",129,"Clarence Gatermouth Brown",77,"Country","Vinyl"
"Blackjack",89,"Clarence Gatermouth Brown",77,"Country","Vinyl"
"Best of the West",78,"Cody Bryant",78,"Country","CD"
"Mine Is Yours (Deluxe Version)",380,"Cold War Kids",79,"Pop","Load"
"Lost in the Ozone",355,"Commander Cody & His Lost Planet Airmen",80,"Rock","Load"
"Commander Cody & His Lost Planet Airmen",141,"Commander Cody & His Lost Planet Airmen",80,"Rock","Load"
"Fresh Cream",217,"Cream",81,"Rock","Vinyl"
"The Very Best of Cream",661,"Cream",81,"Rock","Load"
"The Cream Of Clapton",603,"Cream",81,"Rock","Load"
"Cream",148,"Cream",81,"Rock","CD"
"Creedence Gold",150,"Creedence Clearwater Revival",82,"Rock","Vinyl"
"Chronicle_ 20 Greatest Hits (24-Karat Gold Disc)",125,"Creedence Clearwater Revival",82,"Rock","Load"
"Shaken By A Low Sound",498,"Crooked Still",83,"Blue Grass","CD"
"Crosby Stills & Nash",152,"Crosby Stills Nash & Young",84,"Rock","CD"
"4 Way Street (Live)",13,"Crosby Stills Nash & Young",84,"Rock","Load"
"Suzie Q & Let's All Twist",549,"Dale Hawkins",85,"Rocka Billy","Load"
"Chaplin's back",120,"Darius Brubeck",86,"Jazz","Vinyl"
"New Wine",402,"Dave Brubeck",87,"Jazz","CD"
"Back Home",57,"Dave Brubeck Quartet",88,"Jazz","Vinyl"
"Take Five",553,"Dave Brubeck Quartet",88,"Jazz","Vinyl"
"Rockpile",477,"Dave Edmunds",89,"Rock","Load"
"Long Lost Friend - The Best of Dave Mason",347,"Dave Mason",90,"Rock","Load"
"Alone Together",41,"Dave Mason",90,"Rock","Tape"
"Split Coconut",529,"Dave Mason",90,"Rock","CD"
"20 All-Time Greatest Hits",4,"David Allan Coe",91,"Rock","Load"
"Best of Bowie",72,"David Bowie",92,"Rock","Load"
"Midnight On the Water",378,"David Bromberg Band",93,"Rock","Load"
"Underneath the Sycamore - Single",709,"Death Cab for Cutie",94,"Pop","Load"
"Machine Head",361,"Deep Purple",95,"Rock","Load"
"Little Town Flirt",329,"Del Shannon",96,"Rock","Load"
"This World Oft Can Be",683,"Della Mae",97,"Country","CD"
"The Cream Of Clapton",603,"Derek & The Dominos",98,"Rock","CD"
"Unknown Album (7_14_2008 9_22_53 PM)",711,"Devin Duval",99,"Jazz","CD"
"Audition Tape",55,"Devin Duval",99,"Jazz","CD"
"Senior Recital",494,"Devin Duval",99,"Jazz","CD"
"Fordham Session",213,"Devin Duval",99,"Jazz","CD"
"You Were Never There - Single",750,"Diego Garcia",100,"Pop","Load"
"Up On the Ridge",713,"Dierks Bentley",101,"Pop","Load"
"Making Movies",365,"Dire Straits",102,"Rock","CD"
"Making Movies",365,"Dire Straits",102,"Rock","Vinyl"
"Sultans of Swing - The Very Best of Dire Straits",541,"Dire Straits",102,"Rock","Load"
"Brothers in Arms",110,"Dire Straits",102,"Rock","CD"
"Taking The Long Way",554,"Dixie Chicks",103,"Country","CD"
"Travelin' Thru - Single",695,"Dolly Parton",104,"Country","Load"
"American Pie",45,"Don McLean",105,"Rock","Load"
"Rearview Mirror",451,"Don McLean",105,"Rock","Load"
"Sunshine Superman",544,"Donovan",106,"Rock","Load"
"Stampede",530,"Doobie Brothers",107,"Rock","Vinyl"
"Best Of Doobies",74,"Doobie Brothers",107,"Rock","Vinyl"
"One Step Closer",422,"Doobie Brothers",107,"Rock","Vinyl"
"World Gone Crazy",742,"Doobie Brothers",107,"Rock","Load"
"Cycles",154,"Doobie Brothers",107,"Rock","Vinyl"
"The Captain And Me",599,"Doobie Brothers",107,"Rock","Vinyl"
"What Were Vices Are Now Habits",729,"Doobie Brothers",107,"Rock","Vinyl"
"Goin' Back To New Orleans",225,"Dr. John",108,"Rock","CD"
"Dropkick Murphys_ The Singles Collection Vol. 1 - 1996-1997",172,"Dropkick Murphys",109,"Rock","Load"
"The Singles Collection Vol. 2",647,"Dropkick Murphys",109,"Rock","Load"
"Tessie - EP",560,"Dropkick Murphys",109,"Rock","Load"
"Sing Loud Sing Proud!",505,"Dropkick Murphys",109,"Rock","Load"
"Live On St.Patrick's Day",342,"Dropkick Murphys",109,"Rock","Load"
"Dropkick Murphys _ the Business Split Release_ Mob Mentality",171,"Dropkick Murphys",109,"Rock","Load"
"The Meanest of Times (Deluxe Edition)",631,"Dropkick Murphys",109,"Rock","Load"
"The Gang's All Here",617,"Dropkick Murphys",109,"Rock","Load"
"Do or Die",163,"Dropkick Murphys",109,"Rock","Load"
"Blackout",91,"Dropkick Murphys",109,"Rock","Load"
"The Warrior's Code",675,"Dropkick Murphys",109,"Rock","Load"
"West Coast Swing",726,"Duke Ellington",110,"Jazz","Load"
"Dvorak's Greatest Hits",173,"Dvorak",111,"Classic","Vinyl"
"Longing to Belong - Single",350,"Eddie Vedder",112,"Pop","Load"
"Letters from Sinners & Strangers",326,"Eilen Jewell",113,"Country","Load"
"Suitcase",540,"Eldorado",114,"Tex Mex","Load"
"Discovery",162,"Electric Light Orchestra",115,"Rock","Vinyl"
"Face The Music",198,"Electric Light Orchestra",115,"Rock","Vinyl"
"Eldorado",182,"Electric Light Orchestra",115,"Rock","Vinyl"
"Out Of The Blue",424,"Electric Light Orchestra",115,"Rock","CD"
"Don't Shoot Me I'm Only the Piano Player",165,"Elton John",116,"Rock","CD"
"The Captain & The Kid",598,"Elton John",116,"Rock","Load"
"Elton John_ Greatest Hits",186,"Elton John",116,"Rock","Load"
"The Essential Elvis Presley (Remastered)",611,"Elvis Presley",117,"Pop","Load"
"The Essential Elvis Presley (Remastered)",611,"Elvis Presley",117,"Rocka Billy","Load"
"Elvis's Christmas Album",188,"Elvis Presley",117,"Holiday","Vinyl"
"Heartaches & Highways_ The Very Best of Emmylou Harris",251,"Emmylou Harris",118,"Country","Load"
"Light of the Stable",328,"Emmylou Harris",118,"Holiday","CD"
"Elite Hotel",185,"Emmylou Harris",118,"Country","Vinyl"
"Wrecking Ball",744,"Emmylou Harris",118,"Country","CD"
"Red Dirt Girl",453,"Emmylou Harris",118,"Country","CD"
"Unplugged",712,"Eric Clapton",119,"Rock","CD"
"The Cream Of Clapton",603,"Eric Clapton",119,"Rock","CD"
"The Cream Of Clapton",603,"Eric Clapton",119,"Rock","Load"
"Riding With The King",465,"Eric Clapton & B.B. King",120,"Rock","CD"
"The Ultimate Collection (Disc 2)",656,"Eric Clapton Jeff Beck & The Yardbirds",121,"Rock","Load"
"Helplessness Blues",256,"Fleet Foxes",122,"Pop","Load"
"Rumours",485,"Fleetwood Mac",123,"Rock","Vinyl"
"The Vaudeville Years of Fleetwood Mac - 1968-1970",658,"Fleetwood Mac",123,"Rock","Load"
"Peter Green's Fleetwood Mac (Remastered)",432,"Fleetwood Mac",123,"Rock","Load"
"Fleetwood Mac Hits",209,"Fleetwood Mac",123,"Rock","CD"
"Fool for the City",211,"Foghat",124,"Rock","Load"
"Tumbling Tumbleweeds (10 Timeless Western Songs)",701,"Foy Willing & The Riders Of The Purple Sage",125,"Country","Load"
"Cool Cool Water",144,"Foy Willing & The Riders Of The Purple Sage",125,"Country","Load"
"Masked And Anonymous",372,"Francesco de Gregori",126,"Rock","Load"
"The Reprise Collection [Disc 1]",641,"Frank Sinatra",127,"Pop","CD"
"Reprise Collection [Disc 4]",460,"Frank Sinatra",127,"Pop","CD"
"The Reprise Collection [Disc 2]",642,"Frank Sinatra",127,"Pop","CD"
"The Reprise Collection [Disc 3]",643,"Frank Sinatra",127,"Pop","CD"
"Montego Bay",386,"Freddie Notes & The Rudies",128,"Regae","Load"
"Golden Legends_ Freddy Fender Live",229,"Freddy Fender",129,"Tex Mex","Load"
"16 Greatest Hits",2,"Funk #49",130,"Rock","Load"
"Times Square",687,"Gary Burton",131,"Jazz","CD"
"Trust - EP",700,"Generationals",133,"Pop","Load"
"Let It Roll - Songs of George Harrison (Remastered)",325,"George Harrison",134,"Rock","Load"
"City to City",127,"Gerry Rafferty",135,"Rock","Load"
"Hard Times",248,"Gillian Welch",136,"Pop","Load"
"Ring (Bonus Track Edition)",467,"Glasser",137,"Pop","Load"
"Delta Lady_ The Rita Coolidge Anthology [Disc 2]",158,"Glen Campbell & Rita Coolidge",138,"Country","CD"
"Moontan",388,"Golden Earring",139,"Rock","Load"
"Gord's Gold",231,"Gordon Lightfoot",140,"Folk","Vinyl"
"Summertime Dream",542,"Gordon Lightfoot",140,"Folk","Load"
"Grand Funk Railroad Greatest Hits",233,"Grand Funk Railroad",141,"Rock","CD"
"Just Another Rider",309,"Gregg Allman",142,"Rock","Load"
"Hair",244,"Hair",143,"Rock","Vinyl"
"Hair",244,"Hair Musical",144,"Rock","Vinyl"
"24 of Hank Williams' Greatest Hits",11,"Hank Williams",145,"Country","Vinyl"
"This Is Harry Belafonte",680,"Harry Belafonte",146,"Pop","Vinyl"
"Personal Best - The Harry Nilsson Anthology",430,"Harry Nilsson",147,"Rock","Load"
"Nilsson Schmilsson (Remastered)",406,"Harry Nilsson",147,"Rock","Load"
"Heart_ Greatest Hits",250,"Heart",148,"Rock","Load"
"Hot Tuna",264,"Hot Tuna",149,"Rock","Vinyl"
"Town and Country (Bonus Track Version)",692,"Humble Pie",150,"Rock","Load"
"What You Hear Is What You Get",730,"Ike and Tina Turner",151,"Rock","Vinyl"
"Fork in the Road",214,"Infamous Stringdusters",152,"Blue Grass","CD"
